"institution","openapc_institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
Technische Universität Wien,TU Wien,2024,,10.1145/3650212.3685552,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3651287,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the ACM on Computer Graphics and Interactive Techniques,,,2577-6193,,CC BY-NC,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3651781.3651828,TRUE,FALSE,Association for Computing Machinery (ACM),2024 13th International Conference on Software and Computer Applications,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3652037.3652070,TRUE,FALSE,Association for Computing Machinery (ACM),The PErvasive Technologies Related to Assistive Environments Conference,,,,,CC BY,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3652037.3652073,TRUE,FALSE,Association for Computing Machinery (ACM),The PErvasive Technologies Related to Assistive Environments Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3652104.3652528,TRUE,FALSE,Association for Computing Machinery (ACM),Second International ACM Green Multimedia Systems Workshop,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3652514,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Algorithms,,,1549-6333,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3652620.3686244,TRUE,FALSE,Association for Computing Machinery (ACM),ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,,,,,CC BY,,,,,,,acm2022kemoe,
AIT Austrian Institute of Technology GmbH,AIT Austrian Institute of Technology,2024,,10.1145/3653946.3653959,TRUE,FALSE,Association for Computing Machinery (ACM),2024 The 7th International Conference on Machine Vision and Applications,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3654805,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Recommender Systems,,,2770-6699,,CC BY-NC-ND,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3654974,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the ACM on Management of Data,,,2836-6573,,CC BY,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3656156.3658399,TRUE,FALSE,Association for Computing Machinery (ACM),Designing Interactive Systems Conference,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3656175,TRUE,FALSE,Association for Computing Machinery (ACM),"ACM Transactions on Multimedia Computing, Communications, and Applications",1551-6857,,1551-6865,,CC BY,,,,,,,acm2022kemoe,
Institute of Science and Technology Austria,IST Austria,2024,,10.1145/3656462,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the ACM on Programming Languages,,,2475-1421,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3658187,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Graphics,0730-0301,,1557-7368,,CC BY,,,,,,,acm2022kemoe,
Institute of Science and Technology Austria,IST Austria,2024,,10.1145/3658223,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Graphics,0730-0301,,1557-7368,,CC BY-NC-SA,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3658644.3670373,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 ACM SIGSAC Conference on Computer and Communications Security,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3658644.3690242,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 ACM SIGSAC Conference on Computer and Communications Security,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3658644.3690258,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 ACM SIGSAC Conference on Computer and Communications Security,,,,,CC BY,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3658664.3659645,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 ACM Workshop on Information Hiding and Multimedia Security,,,,,CC BY-NC,,,,,,,acm2022kemoe,
Universität Salzburg,Salzburg U,2024,,10.1145/3658664.3659648,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 ACM Workshop on Information Hiding and Multimedia Security,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3659995.3660037,TRUE,FALSE,Association for Computing Machinery (ACM),Workshop on AI and Scientific Computing at Scale using Flexible Computing Infrastructures,,,,,CC BY,,,,,,,acm2022kemoe,
AIT Austrian Institute of Technology GmbH,AIT Austrian Institute of Technology,2024,,10.1145/3660768,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the ACM on Software Engineering,,,2994-970X,,CC BY,,,,,,,acm2022kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1145/3661814.3662081,TRUE,FALSE,Association for Computing Machinery (ACM),39th Annual ACM/IEEE Symposium on Logic in Computer Science,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3661814.3662112,TRUE,FALSE,Association for Computing Machinery (ACM),39th Annual ACM/IEEE Symposium on Logic in Computer Science,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3661826,TRUE,FALSE,Association for Computing Machinery (ACM),Journal of Data and Information Quality,1936-1955,,1936-1963,,CC BY,,,,,,,acm2022kemoe,
Institute of Science and Technology Austria,IST Austria,2024,,10.1145/3662158.3662769,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Symposium on Principles of Distributed Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3662158.3662809,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Symposium on Principles of Distributed Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3662180,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Graphics,0730-0301,,1557-7368,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3663338.3663681,TRUE,FALSE,Association for Computing Machinery (ACM),"Advanced Tools, Programming Languages, and PLatforms for Implementing and Evaluating algorithms for Distributed systems",,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3664190.3672532,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 ACM SIGIR International Conference on the Theory of Information Retrieval,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3664476.3669925,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3664476.3669934,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
Hochschule für Angewandte Wissenschaften St. Pölten GmbH,FH St. Pölten - University of Applied Sciences,2024,,10.1145/3664476.3670432,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
Hochschule für Angewandte Wissenschaften St. Pölten GmbH,FH St. Pölten - University of Applied Sciences,2024,,10.1145/3664476.3670433,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3664476.3670875,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
Hochschule für Angewandte Wissenschaften St. Pölten GmbH,FH St. Pölten - University of Applied Sciences,2024,,10.1145/3664476.3670890,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
AIT Austrian Institute of Technology GmbH,AIT Austrian Institute of Technology,2024,,10.1145/3664476.3670899,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
Hochschule für Angewandte Wissenschaften St. Pölten GmbH,FH St. Pölten - University of Applied Sciences,2024,,10.1145/3664476.3670910,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
AIT Austrian Institute of Technology GmbH,AIT Austrian Institute of Technology,2024,,10.1145/3664476.3670914,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
Universität Wien,University of Vienna,2024,,10.1145/3664476.3670925,TRUE,FALSE,Association for Computing Machinery (ACM),"The 19th International Conference on Availability, Reliability and Security",,,,,CC BY,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3665463.3678796,TRUE,FALSE,Association for Computing Machinery (ACM),Companion Proceedings of the Annual Symposium on Computer-Human Interaction in Play,,,,,CC BY,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3665463.3678805,TRUE,FALSE,Association for Computing Machinery (ACM),Companion Proceedings of the Annual Symposium on Computer-Human Interaction in Play,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3665463.3678856,TRUE,FALSE,Association for Computing Machinery (ACM),Companion Proceedings of the Annual Symposium on Computer-Human Interaction in Play,,,,,CC BY,,,,,,,acm2022kemoe,
Universität Klagenfurt,University of Klagenfurt,2024,,10.1145/3665463.3678858,TRUE,FALSE,Association for Computing Machinery (ACM),Companion Proceedings of the Annual Symposium on Computer-Human Interaction in Play,,,,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3665647,TRUE,FALSE,Association for Computing Machinery (ACM),ACM Transactions on Interactive Intelligent Systems,,,2160-6463,,CC BY,,,,,,,acm2022kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1145/3666015.3666019,TRUE,FALSE,Association for Computing Machinery (ACM),International Conference on Software and Systems Processes,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3666025.3699372,TRUE,FALSE,Association for Computing Machinery (ACM),The 22nd ACM Conference on Embedded Networked Sensor Systems,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3666085,TRUE,FALSE,Association for Computing Machinery (ACM),Journal of the ACM,0004-5411,,1557-735X,,CC BY,,,,,,,acm2022kemoe,
IMC Hochschule für Angewandte Wissenschaften Krems GmbH,IMC University of Applied Sciences Krems,2024,,10.1145/3670243.3670263,TRUE,FALSE,Association for Computing Machinery (ACM),Central and Eastern European eDem and eGov Days 2024,,,,,CC BY,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3670653.3670654,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of Mensch und Computer 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3670653.3670668,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of Mensch und Computer 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3670653.3670670,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of Mensch und Computer 2024,,,,,CC BY-NC-SA,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3670653.3670674,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of Mensch und Computer 2024,,,,,CC BY,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3670653.3677482,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of Mensch und Computer 2024,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3670653.3677487,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of Mensch und Computer 2024,,,,,CC BY-NC,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3673038.3673065,TRUE,FALSE,Association for Computing Machinery (ACM),The 53rd International Conference on Parallel Processing,,,,,CC BY-NC-SA,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3673791.3698421,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 Annual International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region,,,,,CC BY-SA,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3673791.3698432,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the 2024 Annual International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region,,,,,CC BY-SA,,,,,,,acm2022kemoe,
FH JOANNEUM GmbH,FH Joanneum - University of Applied Sciences,2024,,10.1145/3674558.3674560,TRUE,FALSE,Association for Computing Machinery (ACM),2024 10th International Conference on Computer Technology Applications,,,,,CC BY,,,,,,,acm2022kemoe,
FH JOANNEUM GmbH,FH Joanneum - University of Applied Sciences,2024,,10.1145/3674558.3674569,TRUE,FALSE,Association for Computing Machinery (ACM),2024 10th International Conference on Computer Technology Applications,,,,,CC BY,,,,,,,acm2022kemoe,
FH JOANNEUM GmbH,FH Joanneum - University of Applied Sciences,2024,,10.1145/3674558.3674572,TRUE,FALSE,Association for Computing Machinery (ACM),2024 10th International Conference on Computer Technology Applications,,,,,CC BY,,,,,,,acm2022kemoe,
FH JOANNEUM GmbH,FH Joanneum - University of Applied Sciences,2024,,10.1145/3674558.3674583,TRUE,FALSE,Association for Computing Machinery (ACM),2024 10th International Conference on Computer Technology Applications,,,,,CC BY,,,,,,,acm2022kemoe,
FH JOANNEUM GmbH,FH Joanneum - University of Applied Sciences,2024,,10.1145/3674558.3674595,TRUE,FALSE,Association for Computing Machinery (ACM),2024 10th International Conference on Computer Technology Applications,,,,,CC BY,,,,,,,acm2022kemoe,
FH JOANNEUM GmbH,FH Joanneum - University of Applied Sciences,2024,,10.1145/3674558.3674597,TRUE,FALSE,Association for Computing Machinery (ACM),2024 10th International Conference on Computer Technology Applications,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Wien,TU Wien,2024,,10.1145/3675094.3678500,TRUE,FALSE,Association for Computing Machinery (ACM),Companion of the 2024 ACM International Joint Conference on Pervasive and Ubiquitous Computing,,,,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3675370,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the ACM on Computer Graphics and Interactive Techniques,,,2577-6193,,CC BY,,,,,,,acm2022kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1145/3675382,TRUE,FALSE,Association for Computing Machinery (ACM),Proceedings of the ACM on Computer Graphics and Interactive Techniques,,,2577-6193,,CC BY,,,,,,,acm2022kemoe,
FH Oberösterreich Studienbetriebs GmbH,University of Applied Sciences Upper Austria,2024,,10.1145/3675585.3675592,TRUE,FALSE,Association for Computing Machinery (ACM),"2024 the 8th International Conference on E-Commerce, E-Business, and E-Government (ICEEG)",,,,,CC BY-NC,,,,,,,acm2022kemoe,
